Oznaka	Element	X	Y	Z	R	S	T	ID mat
6-1	7571	-154.55	154.51	193.63	0.5162467	0.2280526	0.2162024	1
7-1	65085	453.96	-37.69	272.81	0.1880567	0.0076319	0.2986367	2
8-1	8197	-305.49	180.61	227.64	0.1228592	0.1365672	0.6732144	1
11-1	12190	371.93	129.67	324.87	0.6957158	0.2026578	0.0852365	1
12-1	9354	-445.82	188.54	282.15	0.290776	0.0129493	0.3907056	1
13-1	50144	339.59	39.48	276.86	0.0245707	0.2271068	0.3318393	2
14-1	48148	-377.78	217.11	294.10	0.1351983	0.4819767	0.0815138	2
15-1	52735	253.88	96.46	280.37	0.2996932	0.0559054	0.2381398	2
16-1	20006	-361.48	452.90	255.70	0.2124421	0.5380488	0.0903839	1
17-1	40421	270.75	137.09	282.22	0.1435171	0.0933387	0.2010774	2
18-1	15139	-429.55	-186.18	277.00	0.1804142	0.577875	0.2103882	1
19-1	77255	362.64	235.78	288.79	0.1663392	0.2428855	0.2052513	2
20-1	66180	-381.22	-44.29	289.79	0.5201271	0.1186963	0.1065278	2
21-1	9635	241.00	246.89	286.05	0.6445081	0.1034698	0.1616202	1
22-1	2113	-386.32	83.00	285.23	0.1711273	0.4312115	0.023117	1
23-1	93245	107.03	155.07	289.61	0.0	0.5	0.0	2
24-1	38163	-369.27	292.95	286.60	0.121784	0.7442706	0.083974	2
25-1	33187	110.85	209.72	289.88	0.0	0.0	0.5	2
26-1	22090	-371.49	411.68	290.30	0.3130567	0.330355	0.1581009	1
27-1	24051	109.15	262.88	290.07	0.0	0.5	0.5	1
28-1	53043	-291.80	287.32	286.25	0.1536237	0.6361933	0.1152334	2
30-1	31458	-155.43	330.32	140.00	0.1984914	0.4508102	0.0475378	1
32-1	80415	-72.06	169.11	284.05	0.5	0.0	0.0	2
34-1	79079	-71.69	213.74	286.52	0.5	0.0	0.0	2
36-1	58931	-66.91	267.81	288.45	0.0	0.0	1.0	2
B-337	10131	-328.92	146.18	225.05	0.4455386	0.1217955	0.1466358	1
G-7	26590	229.45	185.08	227.69	0.181903	0.128307	0.2539843	1
G-9	6627	-169.53	243.09	205.28	0.3672016	0.1658038	0.4330297	1
K-2	4417	213.87	131.93	322.75	0.0	0.0	1.0	1
K-5	9724	182.22	156.18	279.91	0.5	0.0	0.5	1
K-8	14489	164.09	131.23	275.90	0.2658158	0.3041514	0.3705017	1
KL-3	75549	-283.18	141.09	326.97	0.5	0.0	0.5	2
KL-5	61122	-268.20	141.46	318.68	0.5	0.5	0.0	2
KL-7	76355	-235.54	135.29	309.98	0.0	0.5	0.5	2
KL-8	71339	-228.64	135.14	307.17	0.0	0.0	0.5	2
KL-11	49865	-195.32	131.43	295.50	0.5	0.0	0.0	2
KL-12	81487	-185.26	129.66	287.00	0.5503993	0.0315682	0.1957743	2
KL-14	56589	-173.13	129.09	282.00	0.0	0.5	0.0	2
KL-XIX	47273	-150.95	111.35	248.00	0.5	0.0	0.5	2
KL-XX	45201	-162.45	124.00	266.14	0.0	0.5	0.5	2
P-1	111113	235.24	117.60	353.84	0.5	0.0	0.5	2
KL-IV	23615	-42.45	22.09	100.00	0.0444814	0.5369972	0.0301436	1
KL-V	3860	-50.52	28.32	130.00	0.0826978	0.1421349	0.5938277	1
KL-X	16760	-89.31	54.17	170.00	0.0	0.5	0.5	1
HS-1	641617	-0.60	9.29	274.10	0.5	0.0	0.0	112
HS-2	168365	-0.60	16.88	278.30	0.0	0.0	1.0	3
HS-3	717397	-0.60	23.83	279.29	1.0	0.0	0.0	145
HS-1D	632945	103.56	66.64	344.90	0.0282276	0.4639686	0.1523499	65
HS-2D	55274	100.88	68.00	343.40	0.5	0.0	0.0	2
HS-3D	535097	98.21	69.35	343.80	0.5	0.0	0.5	73
HS-1L	599243	-102.99	67.08	341.50	0.0	0.5	0.0	88
HS-2L	655257	-100.31	68.43	340.30	0.0	0.5	0.0	119
HS-3L	166529	-97.63	69.78	340.50	0.5	0.5	0.0	3
D-4	92545	110.44	94.65	332.97	0.0119961	0.0915951	0.03095	2
D-6	121944	67.66	59.41	311.28	0.3383273	0.0522695	0.1416522	2
D-7	21766	109.32	77.60	293.04	0.0944539	0.02961	0.0167627	1
D-9	60753	49.28	45.44	284.37	0.0006328	0.0000769	0.0000855	2
D-11	118796	21.43	33.55	250.00	0.0992949	0.0281582	0.0159545	2
D-12	102318	14.39	27.13	237.74	0.0016742	0.000164	0.0038802	2
D-13	103653	-2.16	24.81	247.83	0.0000995	0.0001777	0.0000326	2
D-14	104719	-15.86	27.34	233.23	0.0170983	0.0776081	0.0323487	2
D-15	107714	-39.94	44.66	233.48	0.0100868	0.0747871	0.0114761	2
D-17	56816	-74.04	53.83	233.35	0.0000344	0.0005832	0.0003981	2
D-19	35810	-101.73	69.84	263.99	0.0008857	0.5914731	0.4063741	2
D-20	109577	-115.82	83.91	306.63	0.000408	0.0591664	0.000454	2
D-22	69318	-125.36	93.79	321.94	0.0990114	0.0012636	0.0004879	2
D-24	106232	-136.96	114.76	335.59	0.1403623	0.3503935	0.0262903	2
