PUN NAZIV,SKRACENI NAZIV,ADRESA,MATICNI BROJ,PORESKI BROJ,TEKUCI RACUN,PRAVNI OBLIK,DATUM OSNIVANJA,DELATNOST,Telefon,Web,E-mail,OPIS DELATNOSTI,Folder,Pozicija 1,Pozicija 1 Ime,Pozicija 1 Linkedin,Pozicija 1 Telefon,Pozicija 1 Mail,Pozicija 2,Pozicija 2 Ime,Pozicija 2 Linkedin,Pozicija 2 Telefon,Pozicija 2 Mail,Pozicija 3,Pozicija 3 Ime,Pozicija 3 Linkedin,Pozicija 3 Telefon,Pozicija 3 Mail,Pozicija 4,Pozicija 4 Ime,Pozicija 4 Linkedin,Pozicija 4 Telefon,Pozicija 4 Mail,Beleske
PREDUZEĆE ZA PROIZVODNJU I PROMET ADP DOO MLADENOVAC (VAROŠ),ADP DOO MLADENOVAC,Kralja Petra I 334 11400 MLADENOVAC,20787538,107363165,170-0030028004000-49,Društvo sa ograničenom odgovornošću,6.12.2011.,Proizvodnja ostalih delova i dodatne opreme za motorna vozila,+381 11 7152 999+381 11 7152 911,www.adplastik.hr , office@adp.rs,Bave se proizvodnjom komponenti enterijera i eksterijera automobila. USLUGE:Analiza tržišta i istraživanjeRazvoj proizvoda (optimizacija studije izvedivosti)Razvoj procesaReverzibilni inženjeringValidacija proizvoda,AUTO-INDUSTRIJA,Tehnolog kvaliteta,Goran Koprivica,,+381 60 860 8632,goran.koprivica@adp.rs,Injection Molding Engineer,Dragan Djurdjević,https://www.linkedin.com/in/dragan-djurdjevic,,,Production Technologist,Marija Grčić,https://www.linkedin.com/in/marija-grčić,,,Kontrola kvaliteta,Milan Stankovic,https://www.linkedin.com/in/milan-stankovic,,,21-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
Brose d.o.o. Pančevo,Brose d.o.o.,RATARSKA ULICA 142 26000 Pančevo,21509213,111604649,840-0000046058763-48,Društvo sa ograničenom odgovornošću,21.8.2019.,Proizvodnja električne i elektronske opreme za motorna vozila,+381 11 4510 100+381 11 4510 220,, belgrade@brose.com,Proizvode mehatroničke sisteme za vrata vozila vrata prtljažnika i sedišta kao i elektromotore elektroniku i sisteme za upravljanje.,AUTO-INDUSTRIJA,Quality Assurance Production / Plant Belgrade,Nemanja Milenković,,+381 60 8575 861,nemanja.milenkovic@brose.com,Senior procurement buyer,Neda Milinković,,,,Head Of Purchasing,Jelena Kostić,,,,Project Manager Electronics,Boško Bošković,,,,20-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA PROIZVODNJU USLUGE I PROMET EVROKOMERC DOO BRUS,PREDUZEĆE EVROKOMERC DOO BRUS,Ive Lole Ribara 2 37220 BRUS,07363559,101141356,160-0053400040911-72,Društvo sa ograničenom odgovornošću,20.10.1989.,Proizvodnja ostalih delova i dodatne opreme za motorna vozila,+381 037 751 080,-,evrokomerc2@gmail.com,Bave se projektovanjem i proizvodnjom pneumatskih hidrauličnih crevovoda svih namena (hidrauličnih ulja goriva vazduha i vode),AUTO-INDUSTRIJA,Direktor,Svetlana Savković,,,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,03-05-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
PREDUZEĆE ZA PROIZVODNJU I TRGOVINU GOLAŠ DOO BEOGRAD (PALILULA),GOLAŠ DOO BEOGRAD-KRNJAČA,I SUTJESKA 1D 11060 BEOGRAD-PALILULA,07529902,100249650,205-0000000508698-95,Društvo sa ograničenom odgovornošću,10.10.1990.,Proizvodnja ostalih delova i dodatne opreme za motorna vozila,+381 11 3317 537+381 11 3317 165+381 65 3317 165+381 11 2085 619,, golas@eunet.rs,Bave se proizvodnjom limarije kao i trgovinom auto delovima. Osnovu proizodnje čine sajtne rubovi i ostali delovi autoreparaturne limarije.,AUTO-INDUSTRIJA,Vlasnik,Slavoljub Mitrović,,,,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,12-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA PROIZVODNJU PROMET I USLUGE GOMMA LINE KRAGUJEVAC,GOMMA LINE DOO KRAGUJEVAC,19. OKTOBRA 2 34000 KRAGUJEVAC,20241225,104813259,160-0050100136195-47,Društvo sa ograničenom odgovornošću,10.1.2007.,Proizvodnja ostalih delova i dodatne opreme za motorna vozila,+381 34 617 05 37+381 34 617 05 39,, office@gomma.rs,PROIZVODI:Ekstrudirani gumeni profiliPresovani gumeni proizvodiKočiona crevaAlati za obradu gume,AUTO-INDUSTRIJA,General Manager,Srdjan Srecković,https://www.linkedin.com/in/srdjan-sreckovic,,,Commercial Director,Nebojša Janićijević,https://www.linkedin.com/in/nebojša-janićijević,+381 65 418 07 07+381 34 617 05 50,nebojsa.janicijevic@gomma.rs,Quality Manager,Stefan Aksentijević,https://www.linkedin.com/in/stefan-aksentijevic,+381 64 362 2540,aksen93@hotmail.com,General manager assistant for technology and production,Desa Mirković,https://www.linkedin.com/in/desa-mirkovic,,,DODATNI KONTAKTIQuality Assurance Engineer:Milica JelesijevićLinkedInhttps://www.linkedin.com/in/milicajelesijevicTelefonMailProcurement Specialist:Zorica JelićLinkedInhttps://www.linkedin.com/in/zorica-jelićTelefonMailProduct Manager:Aleksandar Djordjevic LinkedInhttps://www.linkedin.com/in/aleksandar-djordjevicTelefonMail
PRIVREDNO DRUŠTVO JOHNSON ELECTRIC DOO NIŠ,JOHNSON ELECTRIC DOO NIŠ,VAZDUHOPLOVACA BB 18000 NIŠ,20945028,108169643,170-0030019018320-13,Društvo sa ograničenom odgovornošću,24.7.2013.,Proizvodnja električne i elektronske opreme za motorna vozila,,, nis.office@johnsonelectric.com,Bave se proizvodnjom elektromotore za razne industrije pre svega za automobilsku industriju.,AUTO-INDUSTRIJA,Process Engineer Injection Molding,Dušan Stevanović,https://www.linkedin.com/in/dusan-stevanovic-ab3994b6/,,,Logistic Supervisor,Dušan Stamenković,https://www.linkedin.com/in/dusan-stamenkovic-11058093/,,,Production and Material Planning Coordinator,Nemanja Petrović,https://www.linkedin.com/in/nemanja-petrovic-987445a8/,,,Project manager,,,,,22-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
Lear Corporation d.o.o. Novi Sad,Lear Corporation d.o.o.,RATNO OSTRVO 8 21000 Novi Sad,21140872,109199461,170-0030026581940-72,Društvo sa ograničenom odgovornošću,7.10.2015.,Proizvodnja električne i elektronske opreme za motorna vozila,+381 21 215 6418,, learcorporation.serbia@lear.com,Bave se proizvodnjom sedišta i e-sistema električnih instalacija (kablovskih snopova) za putnička vozila.,AUTO-INDUSTRIJA,Plant Quality Manager,Marko Momčilović,https://www.linkedin.com/in/marko-momcilovic,,,Quality Engineer,Marko Babalj,https://www.linkedin.com/in/marko-babalj,,,Production Manager,Biljana Marinkov,https://www.linkedin.com/in/biljana-marinkov,,,Operations Manager,Goran Stojsin,https://www.linkedin.com/in/goran-stojsin,,,25-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
MINTH AUTOMOTIVE EUROPE društvo sa ograničenom odgovornošću Loznica,MINTH AUTOMOTIVE EUROPE DOO,Republike Srpske 20 D 15300 LOZNICA,21394041,110854640,325-9500700190947-42,Društvo sa ograničenom odgovornošću,12.6.2018.,Proizvodnja ostalih delova i dodatne opreme za motorna vozila,,, job.serbia@minthgroup.com,PROIZVODI:Spoljašnje i unutrašnje ukrasne lajsneLajsne za okvir vrata/ Lajsna za okvir bočnih vrataKrovne lajsneZadnja trouglasta lajsnaSenzor protiv priklještenjaKućišta za baterije,AUTO-INDUSTRIJA,Metrological Supervisor,Borislav Pajkić,,+381 64 400 7680 – mob. Srbija+387 65 920 477- mob. B&H,borislav.pajkic@minthgroup.com,Direktor održavanja,,,,,Direktor kvaliteta,,,,,Project manager,,,,,21-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
SD Hirsch Automotive DOO Bačka Palanka,SD Hirsch Automotive DOO,Novosadski Put 19 21400 Bačka Palanka,21426938,111107918,170-0030040937320-89,Društvo sa ograničenom odgovornošću,22.10.2018.,Proizvodnja ostalih delova i dodatne opreme za motorna vozila,+381 (21) 2281000 +381 (21) 2281000,,,Bave se proizvodnjom metalnih komponenata za autoindustriju. U proizvodnom programu su proizvodi za panorama krovove kabrio sisteme turbo punjače sigurnosne pojaseve deflektori vetra itd.,AUTO-INDUSTRIJA,Direktor,Christoph ZimmermannTessilo Hibler,,,,Menadžer proizvodnje,Radoslav Rudić,,+381 64 841 2432,radoslav.rudic@sdhirsch-automotive.com,Pomoćnik rukovodioca proizvodnje,Miloš Lifka,,+ 381 65 855 3062,milos.lifka@sdhirsch-automotive.com,Project manager,,,,,17-03-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
Shenchi Automotive Parts d.o.o. Kragujevac,Shenchi Automotive Parts d.o.o.,PANONSKA 3 34000 KRAGUJEVAC,21573914,111930404,265-1110310004052-65,Društvo sa ograničenom odgovornošću,10.4.2020.,Proizvodnja ostalih delova i dodatne opreme za motorna vozila,,,,Bave se proizvodnjom ostalih delova i dodatne opreme za motorna vozila.PROIZVODI:raznovrsni delovI i pribor za motorna vozila:kočnice menjačI osovine točkovi amortizeri hladnjaci prigušivači izduvne cevi katalizatore kvačila volani stubovi upravljači kutije upravljačkih mehanizama i dr.delovi i pribori za karoseriju motornih vozila:sigurnosni pojasevi vrata branici i dr.sedišta za motorna vozila,AUTO-INDUSTRIJA,Quality control,Stefan Markovic,https://www.linkedin.com/in/stefan-markovic,,,Quality Assurance Engineer,Jelena Stević,https://www.linkedin.com/in/jelena-stevic,,,Production Engineer,Nenad Matić,https://www.linkedin.com/in/nenad-matic,,,Project manager,,,,,24-04-2023 dokument napravila Ivana Lojanica05-03-2023 Direktora kontrole kontaktirala Mila MIlićević postoji potencijal za
