ID	Document Type	Status	Entity	Amount	Date 1	Date 2
23-RN002000034	Faktura	Odobreno	ДРУШТВО С ОГРАНИЧЕНОМ ОДГОВОРНОШЋУ ЗА ПРОИЗВОДЊУ ТЕРЕНСКИХ ВОЗИЛА ЗАСТАВА ТЕРВО КРАГУЈЕВАЦ	306.200,00 RSD	24.09.2023	12.10.2023
23-RA002000001	Avansni račun	Odobreno	ДРУШТВО С ОГРАНИЧЕНОМ ОДГОВОРНОШЋУ ЗА ПРОИЗВОДЊУ ТЕРЕНСКИХ ВОЗИЛА ЗАСТАВА ТЕРВО КРАГУЈЕВАЦ	1.531.000,00 RSD	11.09.2023	00.00.0000
028-01-2023	Faktura	Odobreno	PREDUZEĆE ZA MONTAŽU PROIZVODNJU I TRGOVINU MONTAVAR METALNA LOLA DOO BEOGRAD	136.300,80 RSD	25.12.2023	25.12.2023
027-01-2023	Faktura	Odobreno	MOLD SOLUTIONS D.O.O. Kragujevac	8.436,62 RSD	21.12.2023	21.12.2023
026-01-2023	Faktura	Odobreno	PREDUZEĆE ZA MONTAŽU PROIZVODNJU I TRGOVINU MONTAVAR METALNA LOLA DOO BEOGRAD	136.300,80 RSD	19.12.2023	19.12.2023
025-01-2023	Faktura	Stornirano	PREDUZEĆE ZA MONTAŽU PROIZVODNJU I TRGOVINU MONTAVAR METALNA LOLA DOO BEOGRAD	115.320,00 RSD	19.12.2023	19.12.2023
024-01-2023	Faktura	Odobreno	MOLD SOLUTIONS D.O.O. Kragujevac	12.654,94 RSD	06.12.2023	12.12.2023
023-01-2023	Faktura	Odobreno	ELDISY SERBIA	100.896,00 RSD	08.12.2023	08.12.2023
022-01-2023	Faktura	Odobreno	MOLD SOLUTIONS D.O.O. Kragujevac	16.876,80 RSD	02.12.2023	02.12.2023
021-01-2023	Faktura	Odobreno	MOLD SOLUTIONS D.O.O. Kragujevac	7.031,30 RSD	30.10.2023	30.10.2023
020-01-2023	Faktura	Odobreno	CONTINENTAL AUTOMOTIVE SERBIA DOO NOVI SAD	16.290,00 RSD	03.10.2023	03.10.2023
019-01-2023	Faktura	Odobreno	PREDUZEĆE ZA MONTAŽU PROIZVODNJU I TRGOVINU MONTAVAR METALNA LOLA DOO BEOGRAD	172.263,60 RSD	29.09.2023	29.09.2023
018-01-2023	Faktura	Odobreno	MOLD SOLUTIONS D.O.O. Kragujevac	19.126,94 RSD	29.09.2023	29.09.2023
017-01-2023	Faktura	Odobreno	LOTRIČ Metrologija d.o.o. Kragujevac	483.840,00 RSD	15.08.2023	15.08.2023
016-01-2023	Faktura	Odobreno	CONTINENTAL AUTOMOTIVE SERBIA DOO NOVI SAD	521.760,00 RSD	28.07.2023	28.07.2023
015-01-2023	Faktura	Odobreno	EDEPRO DOO BEOGRAD (VRAČAR)	180.240,00 RSD	26.07.2023	26.07.2023
014-03-2023	Faktura	Odobreno	MONUS PREDUZEĆE ZA PROIZVODNJU, SPOLJNU I UNUTRAŠNJU TRGOVINU I USLUGE DOO BEOGRAD	117.840,00 RSD	19.12.2023	19.12.2023
014-01-2023	Faktura	Odobreno	EDEPRO DOO BEOGRAD (VRAČAR)	47.940,00 RSD	26.07.2023	26.07.2023
013-03-2023	Faktura	Odobreno	ELDISY SERBIA	141.000,00 RSD	13.12.2023	13.12.2023
012-03-2023	Faktura	Odobreno	MONUS PREDUZEĆE ZA PROIZVODNJU, SPOLJNU I UNUTRAŠNJU TRGOVINU I USLUGE DOO BEOGRAD	112.489,63 RSD	13.12.2023	13.12.2023
