Puni naziv;Skraćeni naziv;Adresa;Pošta i mesto;Region;Matični broj;Poreski br.;Pravni oblik:;Datum osnivanja:;Delatnost:
SVOKSEN DOO ČAČAK;SVOKSEN DOO;Dragiše Mišovića 169;32102 ČAČAK;Moravički;21732184;112750577;Društvo sa ograničenom odgovornošću;3.11.2021.;Istraživanje i razvoj u ostalim prirodnim i tehničko-tehnološkim naukama
TERMORAD GROUP DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA PROIZVODNJU ELEKTROUREĐAJA, PROMET I USLUGE ČESTOBRODICA;TERMORAD GROUP DOO ČESTOBRODICA, POŽEGA;ČESTOBRODICA BB;31213 JEŽEVICA;Zlatiborski;17558439;103418517;Društvo sa ograničenom odgovornošću;15.5.2004.;Proizvodnja električnih aparata za domaćinstvo
PRIVREDNO DRUŠTVO ZA PROIZVODNJU I PROMET DOO TERMORAD NIŠ;TERMORAD DOO NIŠ;SINĐELIĆEV TRG 20/50;18000 NIŠ;Grad Niš;07993668;101858464;Društvo sa ograničenom odgovornošću;28.6.1997.;Proizvodnja električnih aparata za domaćinstvo
MARJAN RADOVANOVIĆ PR ZANATSKA RADNjA ACM-TERMORAD JAGODINA;MARJAN RADOVANOVIĆ PR ZANATSKA RADNjA ACM-TERMORAD JAGODINA;NARODNOG FRONTA 22;35000 JAGODINA;Pomoravski;63164283;108032743;Preduzetnik;17.4.2013.;Održavanje i popravka motornih vozila
Društvo sa ograničenom odgovornošću za proizvodnju, promet i usluge 9. SEPTEMBAR - TISSUE CONVERTING doo Velereč;9. SEPTEMBAR - TISSUE CONVERTING doo Velereč;VELEREČ BB;32300 GORNJI MILANOVAC;Moravički;17106341;101151892;Društvo sa ograničenom odgovornošću;9.5.1996.;Proizvodnja mašina za ostale specijalne namene
TRGOVAČKO DRUŠTVO 9.SEPTEMBAR DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU PARAĆIN;9.SEPTEMBAR DOO PARAĆIN;CARICE MILICE 2;35250 PARAĆIN;Pomoravski;17005464;102015636;Društvo sa ograničenom odgovornošću;9.9.1994.;Ostala trgovina na malo hranom u specijalizovanim prodavnicama
9. Septembar MEDICAL doo Velereč;9. Septembar MEDICAL doo Velereč;Velereč bb;32300 GORNJI MILANOVAC;Moravički;21021652;108547827;Društvo sa ograničenom odgovornošću;3.6.2014.;Proizvodnja medicinskih i stomatoloških instrumenata i materijala
SAŠA STOJKOVIĆ PREDUZETNIK, SAMOSTALNA UGOSTITELJSKA RADNJA BONITA S, SURDULICA;SAŠA STOJKOVIĆ PREDUZETNIK, SAMOSTALNA UGOSTITELJSKA RADNJA BONITA S, SURDULICA;5 SEPTEMBAR 9;17530 SURDULICA;Pčinjski;57199466;104120478;Preduzetnik;7.11.2005.;Delatnosti restorana i pokretnih ugostiteljskih objekta
RUSS ELECTRO DOO NIŠ;RUSS ELECTRO DOO NIŠ;9.SEPTEMBAR 10;18000 NIŠ;Grad Niš;21688223;112503282;Društvo sa ograničenom odgovornošću;28.5.2021.;Postavljanje električnih instalacija
ADVOKAT DUŠAN RADENKOVIĆ;ADVOKAT DUŠAN RADENKOVIĆ;9. SEPTEMBAR 10;18000 NIŠ;Grad Niš;57334843;109551591;Not Found;22.6.2016.;Not Found
AGROINVEST SAMOSTALNA RADNJA ZA USLUGE, ALEKSANDAR GOŠIĆ;AGROINVEST SAMOSTALNA RADNJA ZA USLUGE, ALEKSANDAR GOŠIĆ;26. SEPTEMBAR 9;15314 KRUPANJ;Mačvanski;56648917;103595582;Preduzetnik;29.11.2004.;Not Found
AUTO TAKSI ŽIVKO SPASOJEVIĆ PREDUZETNIK RUŠANJ;AUTO TAKSI ŽIVKO SPASOJEVIĆ PREDUZETNIK RUŠANJ;13. SEPTEMBAR 9;11194 Rušanj;Grad Beograd;53378005;104453510;Preduzetnik;13.3.1990.;Taksi prevoz
GRAĐEVINSKO ZANATSKA RADNJA, PREDRAG BOJOVIĆ;GRAĐEVINSKO ZANATSKA RADNJA, PREDRAG BOJOVIĆ;10 SEPTEMBAR 9;14240 LJIG;Kolubarski;51909291;102334568;Preduzetnik;1.1.0001.;Not Found
POLO S.T.R. - KOMISION, DUŠAN KOKANOVIĆ;POLO S.T.R. - KOMISION, DUŠAN KOKANOVIĆ;19. SEPTEMBAR 9;11550 LAZAREVAC;Grad Beograd;53245811;102451773;Not Found;9.10.2009.;Trgovina na malo odećom u specijalizovanim prodavnicama
ELMONT PROFIL DOO ČAČAK;ELMONT PROFIL DOO ČAČAK;Bulevar Oslobođenja 13 V;32000 Čačak;Moravički;20792663;107391666;Društvo sa ograničenom odgovornošću;28.12.2011.;Proizvodnja metalnih konstrukcija i delova konstrukcija
DOO ELMONT ZA PROIZVODNJU UNUTRAŠNJU I SPOLJNU TRGOVINU ČAČAK;DOO ELMONT ČAČAK;OBILIĆEVA 20;32000 Čačak;Moravički;07631715;101297726;Društvo sa ograničenom odgovornošću;20.12.1999.;Proizvodnja mašina za industriju hrane, pića i duvana
ELMONT ENGINEERING PREDUZEĆE ZA INŽENJERING I PROIZVODNJU DOO, BEOGRAD (SAVSKI VENAC);ELMONT ENGINEERING DOO BEOGRAD;OBLAKOVSKA 51;11000 BEOGRAD;Grad Beograd;06176852;102010486;Društvo sa ograničenom odgovornošću;9.9.1992.;Nespecijalizovana trgovina na veliko
ELMONT INSTAL DOO NOVI SAD;ELMONT INSTAL DOO NOVI SAD;Bulevar Jovana Dučića 33;21000 Novi Sad;Južno-Bački;20845546;107657103;Društvo sa ograničenom odgovornošću;18.7.2012.;Postavljanje električnih instalacija
PREDUZEĆE ZA PROFESIONALNU REHABILITACIJU I ZAPOŠLJAVANJE OSOBA SA INVALIDITETOM ELMONT, DRUŠTVO S OGRANIČENOM ODGOVORNOŠĆU, NIŠ;ELMONT DOO NIŠ;Generala Milojka Lešjanina 72;18000 NIŠ;Grad Niš;07658761;101531840;Društvo sa ograničenom odgovornošću;13.6.1991.;Ostala nepomenuta socijalna zaštita bez smeštaja
JOVAN STOŠIĆ PR ELEKTRIČARSKA RADNJA ELMONT EL-VE VRANJE;JOVAN STOŠIĆ PR ELEKTRIČARSKA RADNJA ELMONT EL-VE VRANJE;RADOJE DOMANOVIĆ 29;17500 Vranje;Pčinjski;63709476;108797072;Preduzetnik;17.12.2014.;Postavljanje električnih instalacija
PRIVREDNO DRUŠTVO ZA PROIZVODNJU I USLUGE ELMONT-GRADNJA DOO POŽAREVAC;DOO ELMONT-GRADNJA POŽAREVAC;VELJKA VLAHOVIĆA 80;12000 POŽAREVAC;Braničevski;17442961;101825529;Društvo sa ograničenom odgovornošću;28.9.2002.;Postavljanje električnih instalacija
PREDUZEĆE ZA PROIZVODNJU I PROMET ELMONT BLED DOO BEOGRAD (ZVEZDARA);ELMONT BLED DOO BEOGRAD;Zahumska 36;11000 BEOGRAD;Grad Beograd;20055456;103976615;Društvo sa ograničenom odgovornošću;27.5.2005.;Proizvodnja metalnih konstrukcija i delova konstrukcija
DEJAN GRUJIĆ PR, ELEKTROMONTERSKA RADNJA ELMONT-09 BRAJKOVAC;ELMONT-09;/ /;37253 Bela Voda;Grad Beograd;61773274;105954756;Preduzetnik;4.5.2009.;Postavljanje električnih instalacija
TRADE MARK ELMONT DOO STARA PAZOVA;TRADE MARK ELMONT;SLOVENSKI TRG BB, LOK. 4;22300 Stara Pazova;Sremski;20485981;105907257;Društvo sa ograničenom odgovornošću;19.12.2008.;Postavljanje električnih instalacija
PREDUZEĆE METALOPLASTIKA AD ČAJETINA;METALOPLASTIKA AD ČAJETINA;Zlatiborska 3;31310 ČAJETINA;Zlatiborski;07606290;101074406;Akcionarsko društvo;17.1.1991.;Proizvodnja ostalih metalnih proizvoda
PREDUZEĆE ZA PROFESIONALNU REHABILITACIJU I ZAPOŠLJAVANJE OSOBA SA INVALIDITETOM INDUSTRIJA PLASTIČNE AMBALAŽE METALOPLASTIKA DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU TRSTENIK-STARI TRSTENIK;I.P.A. METALOPLASTIKA D.O.O. TRSTENIK-STARI TRSTENIK;Stari Trstenik 29;37242 STOPANJA;Rasinski;17533711;103204863;Društvo sa ograničenom odgovornošću;26.12.2003.;Ostala nepomenuta socijalna zaštita bez smeštaja
